"retailer_id","name","image_url","category","group","price","availability"
"BL-F-1","front_blouse_21_ltiq8y","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741777/blouse/frontdesigns/front_blouse_21_ltiq8y.png","blouse","front",0,"in stock"
"BL-F-2","front_blouse_20_j2yitj","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741776/blouse/frontdesigns/front_blouse_20_j2yitj.png","blouse","front",0,"in stock"
"BL-F-3","front_blouse_19_uhfkkl","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741776/blouse/frontdesigns/front_blouse_19_uhfkkl.png","blouse","front",0,"in stock"
"BL-F-4","front_blouse_18_mtssqd","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741775/blouse/frontdesigns/front_blouse_18_mtssqd.png","blouse","front",0,"in stock"
"BL-F-5","front_blouse_17_ry0whl","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741775/blouse/frontdesigns/front_blouse_17_ry0whl.png","blouse","front",0,"in stock"
"BL-F-6","front_blouse_16_kkjb2f","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741774/blouse/frontdesigns/front_blouse_16_kkjb2f.png","blouse","front",0,"in stock"
"BL-F-7","front_blouse_14_l1viiz","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741774/blouse/frontdesigns/front_blouse_14_l1viiz.png","blouse","front",0,"in stock"
"BL-F-8","front_blouse_15_z1a92r","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741774/blouse/frontdesigns/front_blouse_15_z1a92r.png","blouse","front",0,"in stock"
"BL-F-9","front_blouse_13_ovubch","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741773/blouse/frontdesigns/front_blouse_13_ovubch.png","blouse","front",0,"in stock"
"BL-F-10","front_blouse_12_fvo9ds","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741773/blouse/frontdesigns/front_blouse_12_fvo9ds.png","blouse","front",0,"in stock"
"BL-F-11","front_blouse_11_dmyzm2","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741772/blouse/frontdesigns/front_blouse_11_dmyzm2.png","blouse","front",0,"in stock"
