"retailer_id","item_group_id","title","description","image_link","availability","price","condition","link","color","gender","google_product_category","country_of_origin"
"BL-F-1","BLOUSE-FRONT","Blouse Front Design 1","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741777/blouse/frontdesigns/front_blouse_21_ltiq8y.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741777/blouse/frontdesigns/front_blouse_21_ltiq8y.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-2","BLOUSE-FRONT","Blouse Front Design 2","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741776/blouse/frontdesigns/front_blouse_20_j2yitj.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741776/blouse/frontdesigns/front_blouse_20_j2yitj.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-3","BLOUSE-FRONT","Blouse Front Design 3","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741776/blouse/frontdesigns/front_blouse_19_uhfkkl.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741776/blouse/frontdesigns/front_blouse_19_uhfkkl.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-4","BLOUSE-FRONT","Blouse Front Design 4","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741775/blouse/frontdesigns/front_blouse_18_mtssqd.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741775/blouse/frontdesigns/front_blouse_18_mtssqd.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-5","BLOUSE-FRONT","Blouse Front Design 5","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741775/blouse/frontdesigns/front_blouse_17_ry0whl.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741775/blouse/frontdesigns/front_blouse_17_ry0whl.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-6","BLOUSE-FRONT","Blouse Front Design 6","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741774/blouse/frontdesigns/front_blouse_16_kkjb2f.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741774/blouse/frontdesigns/front_blouse_16_kkjb2f.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-7","BLOUSE-FRONT","Blouse Front Design 7","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741774/blouse/frontdesigns/front_blouse_14_l1viiz.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741774/blouse/frontdesigns/front_blouse_14_l1viiz.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-8","BLOUSE-FRONT","Blouse Front Design 8","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741774/blouse/frontdesigns/front_blouse_15_z1a92r.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741774/blouse/frontdesigns/front_blouse_15_z1a92r.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-9","BLOUSE-FRONT","Blouse Front Design 9","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741773/blouse/frontdesigns/front_blouse_13_ovubch.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741773/blouse/frontdesigns/front_blouse_13_ovubch.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-10","BLOUSE-FRONT","Blouse Front Design 10","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741773/blouse/frontdesigns/front_blouse_12_fvo9ds.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741773/blouse/frontdesigns/front_blouse_12_fvo9ds.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-11","BLOUSE-FRONT","Blouse Front Design 11","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741772/blouse/frontdesigns/front_blouse_11_dmyzm2.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741772/blouse/frontdesigns/front_blouse_11_dmyzm2.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-12","BLOUSE-FRONT","Blouse Front Design 12","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741772/blouse/frontdesigns/front_blouse_10_b7cdwi.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741772/blouse/frontdesigns/front_blouse_10_b7cdwi.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-13","BLOUSE-FRONT","Blouse Front Design 13","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741771/blouse/frontdesigns/front_blouse_9_geybbt.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741771/blouse/frontdesigns/front_blouse_9_geybbt.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-14","BLOUSE-FRONT","Blouse Front Design 14","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741771/blouse/frontdesigns/front_blouse_6_xppbkk.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741771/blouse/frontdesigns/front_blouse_6_xppbkk.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-15","BLOUSE-FRONT","Blouse Front Design 15","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741771/blouse/frontdesigns/front_blouse_8_tamkzx.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741771/blouse/frontdesigns/front_blouse_8_tamkzx.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-16","BLOUSE-FRONT","Blouse Front Design 16","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741771/blouse/frontdesigns/front_blouse_7_jrzair.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741771/blouse/frontdesigns/front_blouse_7_jrzair.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-17","BLOUSE-FRONT","Blouse Front Design 17","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741771/blouse/frontdesigns/front_blouse_5_if5wwk.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741771/blouse/frontdesigns/front_blouse_5_if5wwk.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-18","BLOUSE-FRONT","Blouse Front Design 18","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741770/blouse/frontdesigns/front_blouse_3_pqkfq6.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741770/blouse/frontdesigns/front_blouse_3_pqkfq6.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-19","BLOUSE-FRONT","Blouse Front Design 19","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741770/blouse/frontdesigns/front_blouse_4_pm7vec.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741770/blouse/frontdesigns/front_blouse_4_pm7vec.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-20","BLOUSE-FRONT","Blouse Front Design 20","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741770/blouse/frontdesigns/front_blouse_2_xutz9i.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741770/blouse/frontdesigns/front_blouse_2_xutz9i.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-F-21","BLOUSE-FRONT","Blouse Front Design 21","Premium blouse front design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741770/blouse/frontdesigns/front_blouse_1_zvkcux.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741770/blouse/frontdesigns/front_blouse_1_zvkcux.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-B-1","BLOUSE-BACK","Blouse Back Design 1","Premium blouse back design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741844/blouse/backdesigns/back_blouse_60_k8dxbz.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741844/blouse/backdesigns/back_blouse_60_k8dxbz.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-B-2","BLOUSE-BACK","Blouse Back Design 2","Premium blouse back design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741843/blouse/backdesigns/back_blouse_59_ljprjw.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741843/blouse/backdesigns/back_blouse_59_ljprjw.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-B-3","BLOUSE-BACK","Blouse Back Design 3","Premium blouse back design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741842/blouse/backdesigns/back_blouse_58_kbeuck.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741842/blouse/backdesigns/back_blouse_58_kbeuck.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-B-4","BLOUSE-BACK","Blouse Back Design 4","Premium blouse back design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741842/blouse/backdesigns/back_blouse_57_evumkh.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741842/blouse/backdesigns/back_blouse_57_evumkh.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-B-5","BLOUSE-BACK","Blouse Back Design 5","Premium blouse back design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741841/blouse/backdesigns/back_blouse_56_duk4jy.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741841/blouse/backdesigns/back_blouse_56_duk4jy.png","Multi","female","Apparel & Accessories > Clothing","India"
"BL-B-6","BLOUSE-BACK","Blouse Back Design 6","Premium blouse back design for custom tailoring","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741840/blouse/backdesigns/back_blouse_55_nn6i4g.png","in stock","0 INR","new","https://res.cloudinary.com/dfyweag7e/image/upload/v1775741840/blouse/backdesigns/back_blouse_55_nn6i4g.png","Multi","female","Apparel & Accessories > Clothing","India"
